158.167.97.29 - - [01/Jan/2016:00:06:55 +0100] "GET /sparql HTTP/1.1" 200 111 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
158.167.97.29 - - [01/Jan/2016:01:29:58 +0100] "GET /sparql?query=PREFIX+dcat%3A+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fdcat%23%3E%0D%0APREFIX+odp%3A++%3Chttp%3A%2F%2Fopen-data.europa.eu%2Fontologies%2Fec-odp%23%3E%0D%0APREFIX+dc%3A+%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%3E%0D%0APREFIX+xsd%3A+%3Chttp%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%3E%0D%0APREFIX+foaf%3A+%3Chttp%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%3E+select+distinct+%3Fg+%3Fo+where+%7B+graph+%3Fg+%7B%3Fs+dc%3Atitle+%3Fo.+filter+regex%28%3Fo%2C+%27Statistics%27%2C+%27i%27%29+%7D+%7D+LIMIT+10&format=text%2Fhtml HTTP/1.1" 200 2099 "" "open-data-portal"
158.167.97.29 - - [01/Jan/2016:14:20:34 +0100] "GET /sparql?query=PREFIX+dcat%3A+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fdcat%23%3E%0D%0APREFIX+odp%3A++%3Chttp%3A%2F%2Fopen-data.europa.eu%2Fontologies%2Fec-odp%23%3E%0D%0APREFIX+dc%3A+%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%3E%0D%0APREFIX+xsd%3A+%3Chttp%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%3E%0D%0APREFIX+foaf%3A+%3Chttp%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%3E+select+distinct+%3Fg+%3Fo+where+%7B+graph+%3Fg+%7B%3Fs+dc%3Atitle+%3Fo.+filter+regex%28%3Fo%2C+%27Statistics%27%2C+%27i%27%29+%7D+%7D+LIMIT+10&format=text%2Fhtml HTTP/1.1" 200 2099 "" "open-data-portal"
158.167.97.29 - - [01/Jan/2016:18:42:57 +0100] "GET /sparql?query=PREFIX+dcat%3A+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fdcat%23%3E%0D%0APREFIX+odp%3A++%3Chttp%3A%2F%2Fopen-data.europa.eu%2Fontologies%2Fec-odp%23%3E%0D%0APREFIX+dc%3A+%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%3E%0D%0APREFIX+xsd%3A+%3Chttp%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%3E%0D%0APREFIX+foaf%3A+%3Chttp%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%3E+select+distinct+%3Fg+%3Fo+where+%7B+graph+%3Fg+%7B%3Fs+dc%3Atitle+%3Fo.+filter+regex%28%3Fo%2C+%27Statistics%27%2C+%27i%27%29+%7D+%7D+LIMIT+10&format=text%2Fhtml HTTP/1.1" 200 2099 "" "open-data-portal"
158.167.97.29 - - [01/Jan/2016:19:32:50 +0100] "POST /sparql HTTP/1.1" 200 1491 "" "sparqlwrapper 1.6.0 (http://sparql-wrapper.sourceforge.net/)"
158.167.97.29 - - [01/Jan/2016:19:32:50 +0100] "POST /sparql HTTP/1.1" 200 602 "" "sparqlwrapper 1.6.0 (http://sparql-wrapper.sourceforge.net/)"
158.167.97.29 - - [01/Jan/2016:19:32:50 +0100] "POST /sparql HTTP/1.1" 200 378 "" "sparqlwrapper 1.6.0 (http://sparql-wrapper.sourceforge.net/)"
158.167.97.29 - - [01/Jan/2016:19:32:50 +0100] "POST /sparql HTTP/1.1" 200 7923 "" "sparqlwrapper 1.6.0 (http://sparql-wrapper.sourceforge.net/)"
158.167.97.29 - - [01/Jan/2016:19:32:50 +0100] "POST /sparql HTTP/1.1" 200 232 "" "sparqlwrapper 1.6.0 (http://sparql-wrapper.sourceforge.net/)"
158.167.97.29 - - [01/Jan/2016:19:32:50 +0100] "POST /sparql HTTP/1.1" 200 1716 "" "sparqlwrapper 1.6.0 (http://sparql-wrapper.sourceforge.net/)"
158.167.97.29 - - [01/Jan/2016:19:32:51 +0100] "POST /sparql HTTP/1.1" 200 1626 "" "sparqlwrapper 1.6.0 (http://sparql-wrapper.sourceforge.net/)"
